
HR	VarID	RAJ2000	DEJ2000	Vmag	recno
 	 	"h:m:s"	"d:m:s"	mag	
----	---------	----------	---------	-----	--------
   1	         	00 05 09.9	+45 13 45	 6.70	       1
   2	         	00 05 03.8	-00 30 11	 6.29	       2
   3	Var?     	00 05 20.1	-05 42 27	 4.61	       3
   4	         	00 05 42.0	+13 23 46	 5.51	       4
   5	V640 Cas 	00 06 16.0	+58 26 12	 5.96	       5
   6	         	00 06 19.0	-49 04 30	 5.70	       6
   7	         	00 06 26.5	+64 11 46	 5.59	       7
   8	   33    	00 06 36.8	+29 01 17	 6.13	       8
   9	         	00 06 50.1	-23 06 27	 6.18	       9
  10	         	00 07 18.2	-17 23 11	 6.19	      10
  11	Var?     	00 07 44.1	-02 32 56	 6.43	      11
  12	   46    	00 07 46.8	-22 30 32	 5.94	      12
  13	         	00 08 03.5	-33 31 46	 5.68	      13
  14	AP Psc   	00 08 12.1	-02 26 52	 6.07	      14
  15	Alp And  	00 08 23.3	+29 05 26	 2.06	      15
  16	         	00 08 17.4	-08 49 26	 5.99	      16
  17	         	00 08 41.0	+36 37 36	 6.19	      17
  18	   51    	00 08 33.4	-17 34 39	 6.06	      18
  19	         	00 08 52.2	+25 27 46	 6.23	      19
  20	         	00 09 20.2	+79 42 53	 6.01	      20
  21	Bet Cas  	00 09 10.7	+59 08 59	 2.27	      21
  22	         	00 09 02.4	+18 12 43	 5.53	      22
  23	         	00 09 02.4	-54 00 07	 6.33	      23
  24	         	00 09 21.0	-27 59 16	 5.42	      24
  25	         	00 09 24.7	-45 44 51	 3.88	      25
  26	         	00 10 02.3	+11 08 44	 5.51	      26
  27	         	00 10 19.3	+46 04 20	 5.03	      27
  28	         	00 10 29.7	+57 09 56	 6.74	      28
  29	         	00 10 18.8	-05 14 55	 5.84	      29
  30	         	00 10 02.1	-82 13 26	 5.28	      30
  31	         	00 10 42.8	-12 34 48	 5.85	      31
  32	         	00 10 38.6	-73 13 28	 6.64	      32
  33	         	00 11 15.9	-15 28 05	 4.89	      33
  34	         	00 11 34.4	-27 47 59	 5.41	      34
  35	         	00 11 44.0	-35 07 59	 5.25	      35
  36	         	00 11 59.1	+48 09 09	 6.16	      36
  37	         	00 12 10.0	-17 56 18	 5.25	      37
  38	         	00 12 50.4	+37 41 36	 6.73	      38
  39	Gam Peg  	00 13 14.2	+15 11 01	 2.83	      39
  40	         	00 13 24.0	+26 59 14	 6.30	      40
  41	         	00 13 30.8	+41 02 07	 5.72	      41
  42	   96    	00 13 42.1	-26 01 19	 5.94	      42
  43	         	00 13 44.2	-26 17 05	 6.31	      43
  44	         	00 14 02.3	+33 12 22	 6.25	      44
  45	   99    	00 14 36.2	+20 12 24	 4.80	      45
  46	AD Cet   	00 14 27.6	-07 46 50	 5.12	      46
  47	         	00 13 19.4	-84 59 39	 5.77	      47
  48	AE Cet   	00 14 38.4	-18 55 58	 4.44	      48
  49	         	00 14 56.1	+22 17 03	 6.24	      49
  50	UU Psc   	00 14 58.8	+08 49 15	 5.79	      50

